"from","to","m","km","miles","seconds","minutes","hours","mode"
"Kuala Lumpur - Gombak,KL Traders Square Residences","Kuala Lumpur, TRX",10002,10.002,6.2152428,1142,19.0333333333333,0.317222222222222,"driving"
"Kuala Lumpur - Gombak,KL Traders Square Residences","Kuala Lumpur City Centre",9702,9.702,6.0288228,1154,19.2333333333333,0.320555555555556,"driving"
"Kuala Lumpur - Gombak,KL Traders Square Residences","Bukit Bintang, Kuala Lumpur",9821,9.821,6.1027694,1166,19.4333333333333,0.323888888888889,"driving"
"Kuala Lumpur - Wangsa Maju,Seasons Garden Residences @ Wangsa Maju","Kuala Lumpur, TRX",11025,11.025,6.850935,1281,21.35,0.355833333333333,"driving"
"Kuala Lumpur - Wangsa Maju,Seasons Garden Residences @ Wangsa Maju","Kuala Lumpur City Centre",11804,11.804,7.3350056,1494,24.9,0.415,"driving"
"Kuala Lumpur - Wangsa Maju,Seasons Garden Residences @ Wangsa Maju","Bukit Bintang, Kuala Lumpur",10458,10.458,6.4986012,1272,21.2,0.353333333333333,"driving"
"Kuala Lumpur - Cheras,Lavile","Kuala Lumpur, TRX",19098,19.098,11.8674972,1626,27.1,0.451666666666667,"driving"
"Kuala Lumpur - Cheras,Lavile","Kuala Lumpur City Centre",18521,18.521,11.5089494,1550,25.8333333333333,0.430555555555556,"driving"
"Kuala Lumpur - Cheras,Lavile","Bukit Bintang, Kuala Lumpur",18344,18.344,11.3989616,1516,25.2666666666667,0.421111111111111,"driving"
"Kuala Lumpur - Pantai,Fajar Ria","Kuala Lumpur, TRX",12870,12.87,7.997418,1121,18.6833333333333,0.311388888888889,"driving"
"Kuala Lumpur - Pantai,Fajar Ria","Kuala Lumpur City Centre",7698,7.698,4.7835372,869,14.4833333333333,0.241388888888889,"driving"
"Kuala Lumpur - Pantai,Fajar Ria","Bukit Bintang, Kuala Lumpur",9727,9.727,6.0443578,1022,17.0333333333333,0.283888888888889,"driving"
"Kuala Lumpur - KLCC,Banyan Tree","Kuala Lumpur, TRX",3364,3.364,2.0903896,603,10.05,0.1675,"driving"
"Kuala Lumpur - KLCC,Banyan Tree","Kuala Lumpur City Centre",0,0,0,0,0,0,"driving"
"Kuala Lumpur - KLCC,Banyan Tree","Bukit Bintang, Kuala Lumpur",2460,2.46,1.528644,595,9.91666666666667,0.165277777777778,"driving"
"Kuala Lumpur - Bukit Jalil,PPA1M Bukit Jalil","Kuala Lumpur, TRX",14568,14.568,9.0525552,1083,18.05,0.300833333333333,"driving"
"Kuala Lumpur - Bukit Jalil,PPA1M Bukit Jalil","Kuala Lumpur City Centre",14017,14.017,8.7101638,1053,17.55,0.2925,"driving"
"Kuala Lumpur - Bukit Jalil,PPA1M Bukit Jalil","Bukit Bintang, Kuala Lumpur",14001,14.001,8.7002214,1074,17.9,0.298333333333333,"driving"
"Kuala Lumpur - Cheras,Taman Connaught","Kuala Lumpur, TRX",13245,13.245,8.230443,988,16.4666666666667,0.274444444444444,"driving"
"Kuala Lumpur - Cheras,Taman Connaught","Kuala Lumpur City Centre",12894,12.894,8.0123316,990,16.5,0.275,"driving"
"Kuala Lumpur - Cheras,Taman Connaught","Bukit Bintang, Kuala Lumpur",12678,12.678,7.8781092,978,16.3,0.271666666666667,"driving"
"Kuala Lumpur - Cheras,Midah Ria","Kuala Lumpur, TRX",8492,8.492,5.2769288,993,16.55,0.275833333333333,"driving"
"Kuala Lumpur - Cheras,Midah Ria","Kuala Lumpur City Centre",7914,7.914,4.9177596,917,15.2833333333333,0.254722222222222,"driving"
"Kuala Lumpur - Cheras,Midah Ria","Bukit Bintang, Kuala Lumpur",7737,7.737,4.8077718,883,14.7166666666667,0.245277777777778,"driving"
"Kuala Lumpur - Wangsa Maju,Sri Kenangan","Kuala Lumpur, TRX",11414,11.414,7.0926596,1204,20.0666666666667,0.334444444444444,"driving"
"Kuala Lumpur - Wangsa Maju,Sri Kenangan","Kuala Lumpur City Centre",12193,12.193,7.5767302,1417,23.6166666666667,0.393611111111111,"driving"
"Kuala Lumpur - Wangsa Maju,Sri Kenangan","Bukit Bintang, Kuala Lumpur",10847,10.847,6.7403258,1195,19.9166666666667,0.331944444444444,"driving"
"Kuala Lumpur - Taman Desa,Faber Ria","Kuala Lumpur, TRX",9430,9.43,5.859802,999,16.65,0.2775,"driving"
"Kuala Lumpur - Taman Desa,Faber Ria","Kuala Lumpur City Centre",9012,9.012,5.6000568,943,15.7166666666667,0.261944444444444,"driving"
"Kuala Lumpur - Taman Desa,Faber Ria","Bukit Bintang, Kuala Lumpur",8863,8.863,5.5074682,989,16.4833333333333,0.274722222222222,"driving"
"Kuala Lumpur - Wangsa Maju,Villa Wangsamas","Kuala Lumpur, TRX",10730,10.73,6.667622,1172,19.5333333333333,0.325555555555556,"driving"
"Kuala Lumpur - Wangsa Maju,Villa Wangsamas","Kuala Lumpur City Centre",11509,11.509,7.1516926,1384,23.0666666666667,0.384444444444444,"driving"
